Not alert,4
Suspected aortic aneurysm (tearing/ripping pain) ≥50 years old,3
Known aortic aneurysm,3
Fainting or near fainting ≥50 years old,3
Females with fainting or near fainting 12-50 years old,3
Males with pain above navel ≥35 years old,3
Females with pain above navel ≥ 45 years old,3
Abdominal pain,1
Ineffective breathing,5
Not alert,4
Difficulty speaking between breaths,4
Swarming attack (bee, wasp, hornet),4
Snakebite,4
Difficulty breathing or swallowing,3
History of severe allergic reaction,3
Unknown status/other codes not applicable,2
No difficulty breathing or swallowing (rash, hives or itching may be present),1
Spider bite,1
Unconscious or arrest,4
Not alert,4
Chest or neck injury (with difficulty breathing),4
Dangerous body area,4
Large animal,4
Exotic animal,4
Attack of multiple animals,4
Possibly dangerous body area,2
Serious hemorrhage,2
Unknown status/other codes not applicable,2
Not dangerous body area,1
Non-recent (≥6 hours) injuries (without priority symptoms),1
Superficial bites,1
Unconscious or arrest,4
Not alert,4
Chest or neck injury (with difficulty breathing),4
Multiple victims,4
Possibly dangerous body area,2
Serious hemorrhage,2
Unknown status/other codes not applicable,2
Not dangerous body area,1
Non-recent (≥6 hours) injuries (without priority symptoms),1
Not alert,4
Suspected aortic aneurysm (tearing/ripping pain) ≥50 years old,3
Known aortic aneurysm,3
Fainting or nearly fainting ≥50 years old,3
Non-traumatic back pain,1
Non-recent (≥6 hours) traumatic back pain (without priority symptoms),1
Ineffective breathing,5
Not alert,4
Difficulty speaking between breaths,4
Changing color,4
Clammy,4
Abnormal breathing,3
Person on fire,5
Multiple victims,4
Unconscious or arrest,4
Not alert,4
Difficulty speaking between breaths,4
Building fire with persons reported inside,3
Difficulty breathing,3
Burns ≥18% body area,3
Significant facial burns,3
Blast injuries (without priority symptoms),2
Unknown status/other codes not applicable,2
Burns <18% body area,1
Fire alarm (unknown situation),1
Sunburn or minor burns (≤ hand size),1
Unconscious or arrest,4
Not alert,4
Difficulty speaking between breaths,4
Multiple victims,4
Unknown status/other codes not applicable,4
Alert with difficulty breathing,3
Alert without difficulty breathing,2
Carbon monoxide detector alarm (without priority symptoms),6
Not breathing at all,5
Breathing uncertain (agonal),5
Hanging,5
Strangulation,5
Suffocation,5
Underwater,5
Ineffective breathing,4
Obvious or expected death questionable,4
Obvious death unquestionable (a through k),2
Expected death unquestionable (x through z),6
Not alert,4
Difficulty speaking between breaths,4
Changing color,4
Clammy,4
Abnormal breathing,3
Heart attack or angina history,3
Cocaine,3
Breathing normally ≥35 years old,3
Breathing normally <35 years old,1
Complete obstruction/ineffective breathing,5
Abnormal breathing (partial obstruction),4
Not alert,4
Not choking now (can talk or cry, is alert and breathing normally),1
Not breathing,4
Continuous or multiple seizures,4
Agonal/ineffective breathing,4
Effective breathing not verified, patient ≥35 years old,4
Focal seizure (not alert),3
Pregnancy,3
Diabetic,3
Not seizing now and effective breathing verified (>6 years old, confirmed no seizure disorder),3
History of stroke or brain tumor,3
Overdose/poisoning (ingestion),3
Atypical seizure,3
Effective breathing not verified <35 years old,2
Not seizing now and effective breathing verified (known seizure disorder),1
Not seizing now and effective breathing verified (seizure disorder unknown),1
Not seizing now and effective breathing verified (≤6 years old, confirmed no seizure disorder),1
Focal seizure (alert),1
Impending seizure (aura),1
Unconscious,4
Not alert,3
Abnormal behavior,3
Abnormal breathing,3
Alert and behaving normally,1
Unconscious or arrest,4
Not alert,4
Diving or suspected neck injury,4
SCUBA accident,4
Alert with abnormal breathing,3
Alert and breathing normally (injuries or in water),2
Unknown status/other codes not applicable,2
Alert and breathing normally (no injuries and out of water),1
Not breathing/ineffective breathing,5
Unconscious,4
Not disconnected from power,4
Power not off or hazard present,4
Extreme fall (≥30 ft/10 m),4
Long fall,4
Not alert,4
Abnormal breathing,4
Unknown status/other codes not applicable,4
Alert and breathing normally,3
Not alert,4
Severe eye injuries,2
Moderate eye injuries,1
Minor eye injuries,1
Medical eye problems,1
Extreme fall (≥30 ft/10 m),4
Unconscious or arrest,4
Not alert,4
Chest or neck injury (with difficulty breathing),4
Long fall,4
Possibly dangerous body area,2
Serious hemorrhage,2
Unknown status/other codes not applicable,2
Not dangerous body area,1
Non-recent (≥6 hours) injuries (without priority symptoms),1
